                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3881,                 4.0483,                 1.2884,                0.00882,                0.16685,                0.04142,                0.02615,                 1.2658,                 3.8183,                 1.1748,                0.09703,                  3e-05,                  3e-05
                      2,                 1.2781,                 3.8111,                 1.2505,                0.00268,                0.11754,                0.04054,                0.02365,                 1.7134,                   3.84,                 1.5254,               0.093069,               6.93e-05,               6.93e-05
                      3,                 1.2303,                  3.314,                  1.188,                0.00198,                0.09803,                0.02283,                0.01307,                 2.2386,                 3.6643,                 1.8273,               0.089108,              0.0001078,              0.0001078
                      4,                  1.213,                 2.8073,                 1.1188,                0.00287,                0.11384,                0.01937,                0.01182,                  2.429,                 3.9291,                 2.0159,               0.085146,              0.0001455,              0.0001455
                      5,                  1.175,                 2.4119,                 1.1138,                0.01752,                0.09268,                0.02012,                0.00782,                  2.276,                  3.987,                 2.0379,               0.081182,              0.0001824,              0.0001824
                      6,                  1.134,                 2.2455,                 1.1159,                0.00427,                0.10288,                0.01841,                0.00709,                 2.3641,                 3.9478,                 2.1045,               0.077219,              0.0002185,              0.0002185
                      7,                 1.1645,                  2.107,                 1.1014,                0.04505,                0.07563,                0.04479,                0.02865,                 2.2614,                 4.0632,                  2.068,               0.073254,              0.0002538,              0.0002538
                      8,                 1.0836,                 1.7945,                 1.0799,                0.00891,                0.06702,                0.03187,                 0.0135,                 2.3167,                 4.1143,                 2.1008,               0.069288,              0.0002883,              0.0002883
                      9,                 1.1111,                 1.7096,                 1.1069,                0.02156,                0.10542,                0.05055,                0.02462,                  2.133,                 4.1058,                 1.8627,               0.065322,               0.000322,               0.000322
                     10,                 1.1148,                 1.5752,                 1.1094,                0.60535,                0.01714,                0.05144,                0.03496,                 1.8105,                 4.0756,                 1.5895,               0.061355,              0.0003549,              0.0003549
                     11,                 1.0325,                 1.4113,                 1.0543,                0.64968,                0.01389,                0.05962,                0.03755,                 1.5777,                 4.0824,                 1.4511,               0.057387,               0.000387,               0.000387
                     12,                  1.073,                 1.4337,                 1.0782,                0.77615,                0.03635,                0.15674,                0.10637,                 1.5409,                 4.0598,                 1.3926,               0.053418,              0.0004183,              0.0004183
                     13,                 1.0166,                 1.3282,                 1.0514,                0.29582,                0.34354,                0.29427,                0.22865,                 1.3389,                 3.8811,                 1.2746,               0.049449,              0.0004488,              0.0004488
                     14,                 1.0394,                 1.2608,                 1.0448,                0.88424,                0.12596,                0.42262,                0.32901,                 1.2727,                 3.4795,                 1.1939,               0.045479,              0.0004785,              0.0004785
                     15,                  1.037,                 1.2098,                 1.0422,                0.89977,                0.20504,                0.57548,                0.47525,                 1.1661,                 3.1452,                 1.0965,               0.041507,              0.0005074,              0.0005074
                     16,                 1.0056,                 1.1963,                 1.0478,                0.86011,                0.23788,                0.57399,                0.46723,                   1.18,                 2.9796,                  1.093,               0.037536,              0.0005355,              0.0005355
                     17,                 0.9641,                 1.1271,                 1.0369,                0.79337,                0.20934,                0.53713,                0.42464,                 1.1907,                 2.8863,                 1.1023,               0.033563,              0.0005628,              0.0005628
                     18,                0.97962,                 1.1198,                 1.0406,                0.63846,                0.20967,                0.44036,                0.33086,                 1.2325,                 2.9726,                 1.1344,               0.029589,              0.0005893,              0.0005893
                     19,                0.95247,                 1.0871,                 1.0212,                0.70362,                 0.2288,                0.43251,                0.31264,                 1.3647,                 3.1728,                 1.2488,               0.025615,               0.000615,               0.000615
                     20,                0.91274,                  1.025,                0.99871,                0.48472,                0.38233,                0.35801,                0.26506,                 1.4067,                 3.3834,                 1.3319,                0.02164,              0.0006399,              0.0006399
