                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4176,                 4.0521,                 1.2938,                0.01852,                0.28472,                0.05027,                0.03624,                 1.1537,                 3.8605,                 1.1044,                 0.0946,                 0.0006,                 0.0006
                      2,                 1.2364,                 3.8811,                 1.2045,                0.02136,                0.31767,                0.07052,                0.05652,                 1.1115,                 3.7887,                 1.0559,               0.088294,              0.0012935,              0.0012935
                      3,                 1.1964,                 3.5794,                 1.1644,                0.01005,                0.31273,                 0.0982,                 0.0645,                 1.1191,                 3.6975,                 1.0298,                0.08198,                0.00198,                0.00198
                      4,                 1.1204,                   3.01,                 1.1111,                 0.0148,                0.37698,                 0.1346,                0.10091,                 1.0991,                  3.495,                 1.0146,                0.07566,              0.0026595,              0.0026595
                      5,                 1.1562,                 2.5466,                 1.0923,                0.03783,                0.45785,                0.22683,                0.17332,                 1.0733,                 3.2608,                0.99889,               0.069332,               0.003332,               0.003332
                      6,                 1.0278,                 2.0638,                 1.0811,                0.08881,                0.57609,                0.39671,                0.31402,                0.98897,                 3.2096,                0.97536,               0.062998,              0.0039975,              0.0039975
                      7,                 1.0482,                 1.7237,                 1.0648,                0.12543,                0.72296,                0.47992,                0.35181,                 1.1073,                 3.0642,                 1.0271,               0.056656,               0.004656,               0.004656
                      8,                 1.0595,                 1.5588,                 1.0591,                0.12926,                0.69683,                0.48704,                0.36605,                 1.0827,                 3.0074,                 1.0156,               0.050308,              0.0053075,              0.0053075
                      9,                0.95675,                 1.4452,                 1.0301,                0.50997,                0.50948,                  0.494,                0.37533,                 1.0354,                 2.9495,                 1.0255,               0.043952,               0.005952,               0.005952
                     10,                 1.0273,                 1.4772,                 1.0618,                0.62996,                0.44489,                0.57271,                0.43633,                 1.0177,                 2.9798,                 1.0292,                0.03759,              0.0065895,              0.0065895
                     11,                 1.0128,                 1.3782,                 1.0453,                0.92477,                0.32055,                 0.6171,                 0.4673,                 1.0643,                 2.7533,                 1.0191,                0.03122,                0.00722,                0.00722
                     12,                  1.001,                 1.2919,                  1.028,                0.87985,                0.22125,                0.62685,                0.46277,                  1.034,                 2.5439,                 1.0345,               0.024844,              0.0078435,              0.0078435
                     13,                 1.0051,                 1.2594,                 1.0614,                0.85494,                0.39315,                0.67653,                0.52264,                 1.0103,                 2.3592,                  1.021,                0.01846,              0.0084601,              0.0084601
                     14,                 1.0039,                 1.2784,                  1.048,                0.91998,                0.41611,                0.68742,                0.50617,                 1.0877,                  2.403,                 1.0706,                0.01207,              0.0090696,              0.0090696
                     15,                 1.0115,                 1.2528,                 1.0484,                0.87935,                0.43919,                0.62522,                0.48721,                 1.0624,                 2.2458,                 1.0657,              0.0093001,              0.0093001,              0.0093001
                     16,                0.98432,                 1.2395,                 1.0431,                0.83132,                0.49351,                0.68054,                0.49973,                 1.0847,                 2.1297,                 1.0776,              0.0092501,              0.0092501,              0.0092501
                     17,                 1.0109,                 1.2025,                 1.0495,                 0.7894,                0.53779,                0.67889,                0.49317,                 1.0735,                 1.9014,                 1.0632,              0.0092001,              0.0092001,              0.0092001
                     18,                0.98568,                 1.1606,                 1.0382,                0.65289,                0.49342,                0.62371,                0.46237,                 1.1256,                 2.0209,                 1.1125,              0.0091501,              0.0091501,              0.0091501
                     19,                0.98023,                 1.1358,                 1.0327,                0.67326,                 0.6671,                0.70668,                0.52476,                 1.0312,                 1.4914,                 1.0723,              0.0091001,              0.0091001,              0.0091001
                     20,                0.97151,                 1.1432,                 1.0393,                0.76959,                0.65412,                0.77261,                0.54238,                  1.043,                  1.402,                 1.0421,              0.0090501,              0.0090501,              0.0090501
                     21,                0.98459,                 1.1925,                  1.035,                0.73466,                0.66337,                 0.6905,                0.49134,                 1.0361,                 1.3998,                 1.0429,              0.0090001,              0.0090001,              0.0090001
                     22,                0.91975,                 1.1266,                 1.0118,                0.63685,                0.71733,                0.70771,                0.50618,                 1.0861,                 1.3391,                 1.0565,              0.0089501,              0.0089501,              0.0089501
                     23,                 0.9724,                 1.0767,                 1.0274,                0.70958,                 0.6709,                0.73031,                0.52837,                 1.0988,                 1.2808,                 1.0776,              0.0089001,              0.0089001,              0.0089001
