                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3958,                 3.9775,                 1.2759,                0.00288,                0.20042,                0.03254,                0.02455,                 1.5524,                 3.7201,                 1.3087,                0.09406,                  6e-05,                  6e-05
                      2,                 1.2058,                 3.1236,                   1.15,                0.03035,                0.11836,                 0.0379,                0.02748,                 2.2115,                 3.7715,                 1.7315,               0.087129,             0.00012935,             0.00012935
                      3,                 1.2237,                 2.5079,                 1.1444,                0.02265,                0.16683,                0.05574,                0.03461,                 1.9293,                 3.7078,                 1.5842,               0.080198,               0.000198,               0.000198
                      4,                 1.1332,                 2.1238,                 1.1143,                0.10119,                0.15727,                0.07923,                0.05975,                 1.8505,                 3.7676,                 1.6101,               0.073266,             0.00026595,             0.00026595
                      5,                 1.1723,                 1.7896,                 1.1175,                0.01183,                0.18553,                0.04909,                0.03074,                 1.7833,                 4.0506,                 1.6851,               0.066333,              0.0003332,              0.0003332
                      6,                 1.0778,                 1.5394,                 1.1069,                0.00331,                  0.075,                0.01289,                 0.0034,                 1.8301,                 4.3609,                 1.7817,                 0.0594,             0.00039975,             0.00039975
                      7,                 1.0708,                 1.4056,                 1.0831,                 0.5684,                 0.0283,                  0.053,                0.02545,                 1.5173,                 4.0492,                 1.4629,               0.052466,              0.0004656,              0.0004656
                      8,                 1.1182,                 1.3607,                  1.088,                0.62573,                0.14181,                0.26713,                0.20926,                 1.3472,                 3.6705,                 1.2541,               0.045531,             0.00053075,             0.00053075
                      9,                 1.0077,                  1.269,                 1.0632,                0.73456,                0.17638,                0.43865,                0.32357,                 1.2654,                 3.3531,                 1.1489,               0.038595,              0.0005952,              0.0005952
                     10,                 1.0602,                 1.2993,                 1.0726,                0.57043,                0.37806,                0.50735,                0.36277,                 1.1764,                 2.8801,                 1.1006,               0.031659,             0.00065895,             0.00065895
                     11,                 1.0318,                 1.2318,                 1.0563,                0.72881,                0.33914,                0.56053,                0.40948,                 1.1668,                 2.5321,                  1.084,               0.024722,               0.000722,               0.000722
                     12,                0.97115,                 1.1301,                 1.0365,                0.75079,                0.38768,                 0.5501,                0.40674,                 1.1618,                 2.2825,                 1.0976,               0.017784,             0.00078435,             0.00078435
                     13,                0.95338,                 1.1066,                 1.0438,                 0.7004,                0.48372,                0.62121,                0.46727,                 1.0923,                 2.1611,                 1.0469,               0.010846,               0.000846,               0.000846
                     14,                0.96443,                 1.0775,                 1.0374,                 0.7646,                 0.5257,                0.64262,                0.46887,                 1.1413,                 2.0343,                 1.1156,               0.003907,             0.00090695,             0.00090695
                     15,                0.96531,                 1.0717,                 1.0388,                0.80523,                0.57828,                0.68832,                0.49678,                 1.1565,                 1.8817,                 1.1464,                0.00093,                0.00093,                0.00093
                     16,                0.95165,                 1.0495,                  1.041,                0.69206,                 0.5838,                0.63979,                0.45607,                  1.185,                  2.044,                 1.1453,               0.000925,               0.000925,               0.000925
                     17,                0.96271,                 1.0466,                 1.0497,                0.73559,                0.58576,                0.67868,                0.48414,                 1.1757,                 1.8711,                 1.1213,                0.00092,                0.00092,                0.00092
                     18,                0.91013,                0.98513,                  1.021,                0.70635,                0.65949,                0.69086,                  0.508,                 1.1118,                 1.5425,                 1.0804,               0.000915,               0.000915,               0.000915
