                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91169,                0.97003,                 1.0107,                0.78169,                 0.7518,                0.78322,                0.58561,                0.99328,                 1.1492,                 1.0213,              0.0093207,              0.0093207,              0.0093207
                     36,                 0.9162,                 0.9815,                 1.0093,                 0.8545,                 0.7035,                0.80434,                0.59111,                 0.9978,                 1.1111,                 1.0027,              0.0093007,              0.0093007,              0.0093007
                     37,                0.89876,                0.98898,                 1.0094,                0.82278,                0.76008,                0.82843,                0.62962,                0.94521,                  1.052,                0.99695,              0.0092807,              0.0092807,              0.0092807
                     38,                0.88505,                0.93664,                0.99163,                0.87575,                 0.7237,                0.81327,                 0.6167,                 1.0063,                  1.052,                 1.0163,              0.0092607,              0.0092607,              0.0092607
                     39,                0.88909,                0.92086,                0.99621,                0.86419,                0.74839,                0.83456,                0.65007,                0.95445,                 1.0552,                 1.0036,              0.0092408,              0.0092408,              0.0092408
                     40,                0.88622,                0.93473,                 1.0019,                0.86008,                0.76547,                0.83372,                0.62463,                 0.9818,                 1.0472,                 1.0125,              0.0092208,              0.0092208,              0.0092208
                     41,                0.90072,                 0.9204,                0.98701,                0.84042,                0.77421,                0.83108,                0.62007,                0.94014,                 1.0655,                0.99076,              0.0092008,              0.0092008,              0.0092008
                     42,                 0.8738,                0.93892,                 0.9984,                0.79429,                0.78884,                0.82599,                0.62265,                0.93735,                 1.0529,                0.99844,              0.0091808,              0.0091808,              0.0091808
                     43,                0.90138,                0.94291,                 1.0027,                0.82953,                0.76954,                0.83997,                0.64719,                0.93095,                0.99388,                0.99337,              0.0091608,              0.0091608,              0.0091608
                     44,                0.87468,                0.91593,                0.99764,                0.84029,                0.72187,                0.81555,                0.63615,                0.93069,                 1.0107,                  1.004,              0.0091409,              0.0091409,              0.0091409
                     45,                0.87021,                0.90221,                 0.9823,                0.86614,                  0.716,                0.83484,                0.62361,                0.94479,                0.98407,                0.99743,              0.0091209,              0.0091209,              0.0091209
                     46,                0.88002,                0.90491,                0.99361,                0.84957,                0.73269,                0.84514,                0.62827,                0.97043,                0.99463,                 1.0107,              0.0091009,              0.0091009,              0.0091009
                     47,                0.84514,                0.87544,                0.98981,                0.82545,                0.77058,                0.84764,                0.62861,                 0.9397,                0.97119,                 0.9948,              0.0090809,              0.0090809,              0.0090809
                     48,                0.86706,                0.89566,                0.99589,                0.81104,                0.81333,                0.84929,                0.62432,                0.93416,                0.94696,                0.99518,              0.0090609,              0.0090609,              0.0090609
                     49,                0.86651,                0.87144,                 0.9914,                0.87889,                0.73785,                0.85219,                0.66073,                0.92704,                0.95371,                0.98639,               0.009041,               0.009041,               0.009041
                     50,                0.86991,                0.89449,                0.98962,                 0.8263,                0.78246,                0.84591,                0.63272,                0.93649,                 0.9817,                0.99544,               0.009021,               0.009021,               0.009021
                     51,                0.85437,                0.86615,                0.98207,                0.84562,                0.74036,                0.83133,                0.62545,                0.95236,                0.99269,                0.99348,               0.009001,               0.009001,               0.009001
                     52,                0.83722,                 0.8687,                0.98976,                0.79789,                0.77324,                0.84569,                0.64772,                0.92136,                0.99398,                 0.9917,               0.008981,               0.008981,               0.008981
                     53,                0.86586,                0.87181,                0.98371,                0.83382,                 0.8035,                0.85085,                0.66166,                 0.9516,                0.96542,                 1.0088,               0.008961,               0.008961,               0.008961
                     54,                0.86624,                0.87138,                0.98912,                0.84029,                0.79173,                0.84905,                0.61802,                0.93586,                0.99307,                 1.0025,              0.0089411,              0.0089411,              0.0089411
                     55,                 0.8442,                0.85002,                0.97514,                0.84542,                0.78589,                0.85623,                0.64606,                0.95876,                0.96588,                 1.0208,              0.0089211,              0.0089211,              0.0089211
                     56,                0.82267,                0.87141,                0.97952,                0.82696,                0.79905,                0.85252,                0.63549,                0.95792,                0.96061,                 1.0104,              0.0089011,              0.0089011,              0.0089011
                     57,                0.82922,                0.85159,                0.98211,                0.80612,                0.83065,                0.83617,                0.60425,                 1.0065,                0.99141,                 1.0273,              0.0088811,              0.0088811,              0.0088811
                     58,                0.84905,                0.86965,                0.97871,                0.81533,                0.82143,                0.85313,                0.64317,                0.98679,                0.98378,                  1.001,              0.0088611,              0.0088611,              0.0088611
                     59,                0.81789,                0.83539,                0.97756,                0.81239,                 0.7636,                0.83879,                0.63814,                0.92989,                 1.0566,                0.98652,              0.0088412,              0.0088412,              0.0088412
                     60,                0.83386,                0.83394,                0.97836,                0.77313,                0.78505,                0.83322,                0.62696,                0.98238,                 1.0415,                 1.0034,              0.0088212,              0.0088212,              0.0088212
                     61,                0.83861,                0.85503,                0.97293,                0.82808,                0.81155,                0.85661,                0.65266,                0.89647,                 0.9617,                0.96053,              0.0088012,              0.0088012,              0.0088012
                     62,                0.81947,                0.82375,                0.97588,                0.79291,                0.78106,                0.81882,                0.62064,                0.94452,                 1.0211,                0.98505,              0.0087812,              0.0087812,              0.0087812
                     63,                0.82846,                0.84057,                0.98487,                0.81193,                0.78215,                0.83035,                0.63896,                0.99583,                 1.0615,                 1.0302,              0.0087612,              0.0087612,              0.0087612
                     64,                0.83679,                0.85901,                0.98158,                0.83341,                0.81845,                0.86703,                 0.6663,                0.88868,                0.92959,                0.97076,              0.0087413,              0.0087413,              0.0087413
                     65,                0.82841,                0.82723,                0.97441,                0.85082,                0.77365,                0.84711,                0.65752,                0.87692,                0.92624,                0.97644,              0.0087213,              0.0087213,              0.0087213
                     66,                0.84544,                0.81621,                0.96754,                0.80611,                0.80299,                0.84573,                0.64306,                0.89879,                0.93946,                0.97464,              0.0087013,              0.0087013,              0.0087013
                     67,                0.82318,                0.81405,                0.97067,                0.81943,                0.77262,                0.83671,                0.63038,                0.91641,                0.96094,                0.99279,              0.0086813,              0.0086813,              0.0086813
                     68,                0.82769,                0.80951,                0.96278,                0.82621,                0.76934,                0.84894,                0.63123,                0.91196,                0.96681,                 0.9714,              0.0086613,              0.0086613,              0.0086613
                     69,                0.81028,                0.81127,                0.96559,                0.80737,                0.77359,                0.83214,                0.64967,                0.89974,                0.93423,                0.96557,              0.0086414,              0.0086414,              0.0086414
                     70,                0.81193,                0.80166,                0.96511,                0.82095,                0.75346,                0.83682,                0.65386,                0.91363,                0.94551,                0.97391,              0.0086214,              0.0086214,              0.0086214
                     71,                0.82616,                0.78693,                0.96505,                0.87279,                0.75415,                0.84546,                0.65759,                0.88242,                0.92947,                0.96606,              0.0086014,              0.0086014,              0.0086014
                     72,                  0.822,                0.81672,                0.97029,                0.83187,                0.79794,                0.83944,                0.64019,                0.95365,                0.93531,                0.99715,              0.0085814,              0.0085814,              0.0085814
                     73,                0.81433,                0.78802,                0.95951,                0.79337,                0.79047,                0.85599,                0.65868,                0.90302,                0.93226,                0.98421,              0.0085614,              0.0085614,              0.0085614
                     74,                0.78905,                 0.7669,                0.95692,                0.80658,                0.79074,                0.84498,                0.66518,                0.90449,                0.93329,                0.98094,              0.0085415,              0.0085415,              0.0085415
                     75,                0.81472,                0.77286,                0.96685,                 0.8223,                0.78189,                0.84803,                0.64823,                0.91811,                0.95275,                0.98948,              0.0085215,              0.0085215,              0.0085215
                     76,                0.80867,                0.78356,                0.96917,                0.82727,                0.74783,                0.83771,                0.64736,                 0.9516,                0.98143,                 1.0145,              0.0085015,              0.0085015,              0.0085015
                     77,                0.79796,                0.77163,                0.96527,                0.87543,                0.71892,                 0.8423,                0.65683,                 0.9151,                0.94161,                 1.0012,              0.0084815,              0.0084815,              0.0084815
                     78,                0.82498,                0.77247,                0.96854,                0.79081,                0.80712,                0.83754,                0.65094,                0.91466,                0.92905,                0.98948,              0.0084615,              0.0084615,              0.0084615
                     79,                0.80577,                0.75172,                0.95987,                0.82729,                0.79416,                0.84329,                0.64613,                0.92099,                0.91172,                0.98597,              0.0084416,              0.0084416,              0.0084416
                     80,                0.79966,                0.78426,                 0.9678,                0.84643,                0.75928,                0.84337,                 0.6504,                 0.9153,                0.92379,                0.99088,              0.0084216,              0.0084216,              0.0084216
                     81,                0.79394,                0.76197,                0.96187,                0.83296,                0.82144,                0.86374,                0.67711,                0.87663,                0.91253,                0.97932,              0.0084016,              0.0084016,              0.0084016
                     82,                0.78445,                 0.7511,                0.94706,                0.86761,                 0.8061,                0.87346,                0.67728,                0.86389,                0.88539,                0.97584,              0.0083816,              0.0083816,              0.0083816
                     83,                0.79075,                0.78443,                0.96837,                0.89821,                0.79157,                0.87925,                0.69166,                 0.8733,                0.86096,                0.96429,              0.0083616,              0.0083616,              0.0083616
                     84,                0.78995,                0.74783,                0.96057,                 0.8665,                0.78946,                 0.8519,                0.66534,                0.90447,                0.92273,                0.99038,              0.0083417,              0.0083417,              0.0083417
                     85,                0.77449,                0.74778,                0.95115,                0.83523,                0.81127,                0.85364,                0.67105,                0.89273,                0.91805,                0.98712,              0.0083217,              0.0083217,              0.0083217
                     86,                0.76182,                0.73172,                0.94149,                0.84452,                0.81123,                0.85698,                0.65875,                0.89042,                0.90255,                0.96911,              0.0083017,              0.0083017,              0.0083017
                     87,                0.77978,                0.73917,                0.94496,                0.84079,                0.81971,                0.85578,                0.65832,                0.91673,                0.88827,                0.97671,              0.0082817,              0.0082817,              0.0082817
                     88,                0.79136,                  0.753,                0.95764,                 0.8545,                0.79533,                0.84984,                0.65863,                0.91093,                0.89312,                0.97351,              0.0082617,              0.0082617,              0.0082617
                     89,                 0.7685,                0.75201,                0.94626,                0.86344,                0.80908,                 0.8456,                0.65849,                0.91586,                 0.8969,                0.97505,              0.0082418,              0.0082418,              0.0082418
                     90,                0.75124,                0.71077,                0.94474,                 0.8463,                0.79445,                0.84499,                0.66391,                 0.9357,                0.89881,                0.98236,              0.0082218,              0.0082218,              0.0082218
                     91,                0.77796,                0.73619,                 0.9433,                0.85235,                0.76926,                0.83581,                0.66799,                0.88548,                0.88943,                0.97037,              0.0082018,              0.0082018,              0.0082018
                     92,                0.77031,                0.73405,                0.95052,                0.82767,                0.77904,                0.83719,                0.65923,                0.89971,                0.91159,                0.98491,              0.0081818,              0.0081818,              0.0081818
                     93,                0.76218,                0.73115,                0.95155,                0.80761,                0.83038,                0.86104,                0.67851,                0.86367,                0.89558,                0.97331,              0.0081618,              0.0081618,              0.0081618
                     94,                0.77942,                0.72343,                0.95214,                0.79539,                0.83474,                0.85575,                0.68814,                0.89017,                0.86607,                0.99162,              0.0081419,              0.0081419,              0.0081419
                     95,                 0.7572,                0.69784,                0.95731,                0.81461,                0.82573,                0.86398,                0.67584,                0.88688,                0.86211,                0.97241,              0.0081219,              0.0081219,              0.0081219
                     96,                0.80813,                0.72759,                0.97888,                0.84757,                  0.799,                0.86635,                0.68061,                0.92065,                0.87696,                0.97431,              0.0081019,              0.0081019,              0.0081019
                     97,                0.77226,                0.71021,                0.94972,                0.90731,                0.78339,                0.87546,                0.68237,                0.88503,                0.88508,                0.96117,              0.0080819,              0.0080819,              0.0080819
                     98,                0.76153,                0.69932,                0.94148,                0.90186,                0.77686,                0.87256,                0.68985,                0.88058,                0.89307,                0.95142,              0.0080619,              0.0080619,              0.0080619
                     99,                0.77736,                0.72616,                0.95844,                0.86167,                0.74201,                0.81792,                0.64172,                0.87732,                0.94472,                0.95937,               0.008042,               0.008042,               0.008042
                    100,                0.75637,                0.69847,                0.94283,                0.80489,                0.80917,                0.83087,                0.64367,                0.88847,                0.91667,                0.96994,               0.008022,               0.008022,               0.008022
                    101,                0.76469,                0.71067,                  0.946,                0.85378,                0.76479,                0.82312,                 0.6326,                 0.9184,                0.93813,                0.98149,               0.008002,               0.008002,               0.008002
                    102,                0.72897,                0.68884,                0.94196,                0.86907,                0.75338,                0.83802,                0.65509,                0.89452,                0.89111,                0.96765,               0.007982,               0.007982,               0.007982
                    103,                0.78844,                0.73875,                0.95978,                0.84728,                0.76942,                0.84785,                0.65628,                0.89548,                0.86816,                0.96512,               0.007962,               0.007962,               0.007962
